roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model,n_genes,n_sig
0.7825096917460197,0.7657283771346728,0.7085889570552147,0.7055214723926381,0.7116564417177914,0.7076923076923077,0.19141869938650308,326,0.5,0.49,1,30,cin,random_forest,1,29
0.7635966728141821,0.7428197823589375,0.7177914110429449,0.7423312883435583,0.6932515337423313,0.7245508982035929,0.20375105521472392,326,0.5,0.5,2,all,cin,random_forest,1469,96
0.6991606759757614,0.6914161710095257,0.6226993865030674,0.6380368098159509,0.6073619631901841,0.6283987915407855,0.22179986279964617,326,0.5,0.53,2,10,cin,random_forest,1,9
0.739357898302533,0.7260728333863566,0.656441717791411,0.7423312883435583,0.5705521472392638,0.6836158192090396,0.20804710429447854,326,0.5,0.456,2,20,cin,random_forest,1,19
0.745793970416651,0.7342998802019096,0.6687116564417178,0.6687116564417178,0.6687116564417178,0.6687116564417178,0.20551525153374234,326,0.5,0.502,2,30,cin,random_forest,1,29
0.7910723023072,0.7624353124283672,0.7116564417177914,0.803680981595092,0.6196319018404908,0.7359550561797753,0.20005415817694008,326,0.5,0.462,3,all,cin,random_forest,1220,96
0.7619029696262563,0.7319579079703264,0.7116564417177914,0.6441717791411042,0.7791411042944786,0.6907894736842105,0.20019704499499033,326,0.5,0.557,3,10,cin,random_forest,1,9
0.7817004780006775,0.7633572339267671,0.7208588957055215,0.6932515337423313,0.7484662576687117,0.7129337539432177,0.19347817487701638,326,0.5,0.533,3,20,cin,random_forest,1,19
0.7802514208287854,0.7639920941686174,0.7423312883435582,0.7484662576687117,0.7361963190184049,0.7439024390243902,0.1944888588957055,326,0.5,0.506,3,30,cin,random_forest,1,29
0.7723577235772358,0.7573674392096176,0.7020852152965974,0.7621951219512195,0.6419753086419753,0.7204610951008645,0.20492539498183956,326,0.5030674846625767,0.493,4,all,cin,random_forest,1345,96
0.7148072869617585,0.7211425673648753,0.6782595603733815,0.6219512195121951,0.7345679012345679,0.6601941747572816,0.21541797124799775,326,0.5030674846625767,0.545,4,10,cin,random_forest,1,9
