feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
DNAH11 (8701)_damaging,0,0.0002986649959359681,267.2,94.71377935654347,0.0,damaging,DNAH11
PMS2 (5395)_damaging,0,0.00038134260081151654,269.6,162.8628257153854,0.0,damaging,PMS2
MLH3 (27030)_damaging,0,0.0005940774901222303,269.8,240.84580129203,0.0,damaging,MLH3
TNR (7143)_damaging,0,0.00031972954190210505,271.0,98.09179374443104,0.0,damaging,TNR
AMOTL2 (51421)_damaging,0,0.00020530159819707536,272.0,,0.0,damaging,AMOTL2
CFAP47 (286464)_damaging,0,0.00045666140399925205,272.0,154.34701163287872,0.0,damaging,CFAP47
ARID4B (51742)_damaging,0,0.0005421637795668987,272.2,210.17659241694827,0.0,damaging,ARID4B
CSMD1 (64478)_damaging,0,0.0002987528853335555,272.4,100.10144854096768,0.0,damaging,CSMD1
PCSK5 (5125)_damaging,0,0.00028718924504013405,277.8,104.77213369975816,0.0,damaging,PCSK5
DCHS2 (54798)_damaging,0,0.00035797790236907783,278.0,131.44390438510263,0.0,damaging,DCHS2
EEA1 (8411)_damaging,0,0.00024582406661367205,279.0,90.96702699330126,0.0,damaging,EEA1
DNAH1 (25981)_damaging,0,0.00043279170783466466,280.4,208.75176645959192,0.0,damaging,DNAH1
AKAP9 (10142)_damaging,0,0.00024273845521812274,281.0,64.8459713474939,0.0,damaging,AKAP9
MMP3 (4314)_damaging,0,0.0003318035701516416,281.0,127.83387657424772,0.0,damaging,MMP3
NF1 (4763)_hotspot,0,0.0005940952455185778,281.0,238.50681331987144,0.0,hotspot,NF1
LRP2 (4036)_damaging,0,0.0003942178439457787,281.8,152.0088813194808,0.0,damaging,LRP2
SPATA31H1 (84226)_damaging,0,0.0004788014277205691,281.8,207.76356754734454,0.0,damaging,SPATA31H1
AHNAK2 (113146)_damaging,0,0.00032966090660003193,282.0,155.94069385506785,0.0,damaging,AHNAK2
CFAP74 (85452)_damaging,0,0.00021957948022259554,282.0,69.29646455628166,0.0,damaging,CFAP74
RASA1 (5921)_damaging,0,0.00028213746946596525,282.0,102.20812100806863,0.0,damaging,RASA1
THSD7B (80731)_damaging,0,0.0003212854471210218,282.2,133.67385683072064,0.0,damaging,THSD7B
ZBTB20 (26137)_damaging,0,0.00040474342787706586,283.6,148.7507983171855,0.0,damaging,ZBTB20
HMCN2 (256158)_damaging,0,0.00026463826592355383,283.8,86.38113219910932,0.0,damaging,HMCN2
PTPRB (5787)_damaging,0,0.0003743048808566193,284.6,185.1142890216744,0.0,damaging,PTPRB
FAT4 (79633)_damaging,0,0.00029745889140855614,287.6,107.58159693925352,0.0,damaging,FAT4
PTCH1 (5727)_damaging,0,0.00022009746064891408,287.8,59.280688255113915,0.0,damaging,PTCH1
PIGO (84720)_damaging,0,0.0013260653311076948,288.3333333333333,365.21546152009137,0.0,damaging,PIGO
PHF20L1 (51105)_damaging,0,0.00037005564074663126,289.8,141.37255745016427,0.0,damaging,PHF20L1
ATRX (546)_damaging,0,0.0003004462797170786,290.2,131.91739839763366,0.0,damaging,ATRX
PLXNA4 (91584)_damaging,0,0.0004232738376244542,291.4,227.60777666854884,0.0,damaging,PLXNA4
BRCA1 (672)_damaging,0,0.0002223686965999816,292.4,69.0637386766746,0.0,damaging,BRCA1
