ModelID,UMAP1,UMAP2,wgd,cin,loh
ACH-000599,0.35524675,10.11531,1,1,1
ACH-000602,7.249324,5.7799354,0,0,0
ACH-000603,1.6575283,6.573793,1,1,1
ACH-000604,4.097531,5.069943,0,0,0
ACH-000605,3.912959,5.872004,1,1,1
ACH-000606,2.8684926,5.665352,1,0,1
ACH-000608,1.7086256,5.536922,1,1,1
ACH-000609,3.600921,9.39664,0,0,1
ACH-000610,5.342808,5.802694,1,1,1
ACH-000611,4.309599,7.165546,0,0,0
ACH-000612,-14.651967,5.1640854,0,0,0
ACH-000613,3.2814796,4.9526978,1,1,1
ACH-000614,4.586544,10.767836,1,0,0
ACH-000615,3.610823,7.920847,1,1,1
ACH-000619,5.6989417,5.976171,1,1,1
ACH-000620,9.322549,7.748825,1,1,0
ACH-000622,3.3697228,11.544661,1,1,1
ACH-000623,2.865479,9.222166,1,1,0
ACH-000624,4.7265964,5.85218,1,1,1
ACH-000625,5.909198,5.4975853,1,1,1
ACH-000626,4.776729,8.434665,0,0,1
ACH-000627,2.9509568,9.800487,1,1,1
ACH-000628,5.3027453,4.34635,1,1,1
ACH-000630,3.6181765,11.275532,1,1,0
ACH-000631,8.426784,8.353014,1,0,0
ACH-000632,0.5386626,6.7905455,1,0,1
ACH-000633,8.754565,-0.9075695,1,1,1
ACH-000634,3.1242394,10.720119,1,0,0
ACH-000635,4.3242455,5.2177725,1,1,1
ACH-000637,4.901514,7.0483403,1,1,1
ACH-000638,0.16011326,10.766587,1,1,1
ACH-000639,5.0638533,6.1895027,0,1,1
ACH-000640,6.014795,10.091261,1,1,1
ACH-000641,9.772654,7.390748,0,0,0
ACH-000643,8.808374,-0.7863344,1,1,1
ACH-000644,5.884169,10.006647,1,1,1
ACH-000645,-14.453449,4.7145815,0,0,1
ACH-000646,5.9382453,3.9305134,1,1,0
ACH-000647,5.2638493,6.0652037,1,1,1
ACH-000648,7.734376,4.4653177,1,1,0
ACH-000649,2.8711107,9.0835,1,1,1
ACH-000650,4.974075,9.427155,1,1,1
ACH-000651,0.28440008,9.878076,1,1,1
ACH-000652,1.4522545,9.380349,1,0,1
ACH-000653,6.628016,4.730708,1,1,1
ACH-000654,3.7469609,8.334309,0,0,0
ACH-000655,3.3878317,11.585707,1,1,1
ACH-000656,3.80055,6.9432354,0,0,0
ACH-000660,4.068873,8.923326,0,0,0
ACH-000661,5.39804,10.650227,1,1,1
ACH-000662,0.036273364,7.615796,1,1,1
ACH-000663,6.762356,7.031473,1,1,0
ACH-000664,5.190068,6.3644285,1,0,0
ACH-000665,5.3767624,7.947423,1,1,1
ACH-000666,0.73132443,10.063274,1,1,1
ACH-000667,0.75224125,10.068815,1,1,1
ACH-000669,4.4694495,6.712234,1,1,1
ACH-000670,4.520184,7.2354097,1,1,1
ACH-000671,4.537326,6.86171,1,1,0
ACH-000673,3.1875896,11.7667265,1,1,1
ACH-000674,6.684932,6.3968425,1,0,0
ACH-000675,1.7421182,6.6320686,1,1,1
ACH-000676,3.3103867,10.04576,1,1,1
ACH-000677,5.5349793,3.4057395,1,1,1
ACH-000678,8.690754,-0.84210515,1,1,1
ACH-000679,8.242204,2.7131176,1,1,1
ACH-000680,-0.059233982,9.487581,1,1,1
ACH-000681,1.0021813,9.930319,1,0,1
ACH-000682,2.861924,10.752756,1,1,1
ACH-000683,1.0930917,5.963276,1,1,1
ACH-000684,8.502568,8.6023035,1,1,0
ACH-000685,0.35763422,11.095981,1,1,1
ACH-000686,5.5747356,5.300852,1,1,1
ACH-000687,4.8901563,8.435369,0,0,0
ACH-000689,7.226268,10.820591,1,1,1
ACH-000691,8.752036,-1.0624259,1,1,1
ACH-000692,3.0528162,5.553102,1,1,0
ACH-000693,8.281934,-0.2299086,1,1,1
ACH-000694,5.949537,6.745459,1,1,1
ACH-000695,2.9695091,8.175656,0,0,0
ACH-000696,5.107862,5.616176,1,1,1
ACH-000697,9.525003,8.147379,0,0,0
ACH-000698,3.3544266,6.5771503,1,1,1
ACH-000700,3.6555889,10.193527,1,1,1
ACH-000702,7.7556524,9.9453335,1,1,1
ACH-000703,3.9431577,7.6134195,1,0,1
ACH-000704,5.9644012,4.0550714,1,1,0
ACH-000706,3.937862,5.9516397,1,1,1
ACH-000707,2.9478717,8.72146,0,0,0
ACH-000708,6.480663,9.141317,1,1,0
ACH-000709,8.111673,8.332448,0,0,0
ACH-000711,5.0886245,4.238865,1,1,1
ACH-000712,3.9836192,6.446288,1,1,1
ACH-000714,6.3261704,7.718091,1,1,0
ACH-000715,0.93157184,6.2041426,0,0,0
ACH-000716,3.252441,11.070652,1,0,0
ACH-000717,8.605215,-0.94247746,1,1,1
ACH-000718,0.4868657,10.214577,1,1,1
ACH-000722,4.7422137,6.5332136,1,1,1
ACH-000723,0.98762137,6.338084,1,1,0
ACH-000724,3.5813937,10.953701,1,1,1
ACH-000725,5.2611976,7.729635,1,1,1
ACH-000726,8.1566105,-0.7029437,1,1,1
ACH-000727,3.7113543,5.426416,1,1,1
