feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
SZT2 (23334)_damaging,0,0.019419863206186057,190.4,88.33628925871858,0.0,damaging,SZT2
BAP1 (8314)_damaging,0,0.01912811748600296,191.0,93.86959039007255,0.0,damaging,BAP1
RGS22 (26166)_damaging,0,0.02075780561031912,191.0,99.64687651903596,0.0,damaging,RGS22
RPL22 (6146)_damaging,0,0.020055072525905,191.6,88.23151364450233,0.0,damaging,RPL22
CNTN4 (152330)_damaging,0,0.019210840968667497,192.4,92.60021598246949,0.0,damaging,CNTN4
SLC26A5 (375611)_damaging,0,0.01631753270531975,192.5,0.7071067811865476,0.0,damaging,SLC26A5
ITGAL (3683)_damaging,0,0.01943950930024853,193.66666666666666,95.1752769017949,0.0,damaging,ITGAL
NLRC5 (84166)_damaging,0,0.0201321110827034,193.8,101.19634380747162,0.0,damaging,NLRC5
PLEC (5339)_damaging,0,0.018466435867911402,195.2,92.45106813877274,0.0,damaging,PLEC
SLC26A3 (1811)_damaging,0,0.01998393305316925,195.5,137.88582233137677,0.0,damaging,SLC26A3
USP43 (124739)_damaging,0,0.015975096159975,196.0,,0.0,damaging,USP43
HLA-A (3105)_damaging,0,0.0178265914747308,196.4,97.45409175606737,0.0,damaging,HLA-A
ATR (545)_damaging,0,0.01764005144153542,196.6,87.02470913481987,0.0,damaging,ATR
GPR155 (151556)_damaging,0,0.02195532286447363,198.0,124.28596059088895,0.0,damaging,GPR155
ESCO1 (114799)_damaging,0,0.0158637180058436,199.0,,0.0,damaging,ESCO1
GAK (2580)_damaging,0,0.0135033759726416,199.0,,0.0,damaging,GAK
TRIB3 (57761)_damaging,0,0.01524994391662865,199.0,57.982756057296896,0.0,damaging,TRIB3
NOBOX (135935)_damaging,0,0.01812885759942654,200.8,99.33629749492378,0.0,damaging,NOBOX
FAAH (2166)_damaging,0,0.01593908257719584,201.4,72.9163904756674,0.0,damaging,FAAH
AGRN (375790)_damaging,0,0.016947402464042624,201.75,84.06495504469545,0.0,damaging,AGRN
ABCA9 (10350)_damaging,0,0.01717021600834462,201.8,95.72982816238626,0.0,damaging,ABCA9
OVCH1 (341350)_damaging,0,0.01802405479235786,202.2,94.19766451457276,0.0,damaging,OVCH1
SPATA22 (84690)_damaging,0,0.0169574700444132,202.8,89.63648810612786,0.0,damaging,SPATA22
SCN7A (6332)_damaging,0,0.01639018333119474,203.8,85.64870109931616,0.0,damaging,SCN7A
ST18 (9705)_damaging,0,0.0154682707599792,204.25,67.63320190557297,0.0,damaging,ST18
SMARCAD1 (56916)_damaging,0,0.0165135602734801,204.4,80.44128293357834,0.0,damaging,SMARCAD1
AP1M1 (8907)_damaging,0,0.01603080128139555,204.5,123.74368670764582,0.0,damaging,AP1M1
CD109 (135228)_damaging,0,0.0150814953765753,204.5,54.44722215136416,0.0,damaging,CD109
ATP13A5 (344905)_damaging,0,0.014174794898009302,205.0,42.720018726587654,0.0,damaging,ATP13A5
XIRP2 (129446)_damaging,0,0.01742451169908686,205.2,91.67987783586975,0.0,damaging,XIRP2
ADAMTS6 (11174)_damaging,0,0.0109139670337794,206.0,,0.0,damaging,ADAMTS6
CEP120 (153241)_damaging,0,0.0126441844845087,206.0,,0.0,damaging,CEP120
FSIP2 (401024)_damaging,0,0.01578320634042458,206.2,82.45726165717608,0.0,damaging,FSIP2
CUL9 (23113)_damaging,0,0.01501645822796025,206.5,122.32947314527271,0.0,damaging,CUL9
TRPM2 (7226)_damaging,0,0.0110560690932511,208.0,25.45584412271571,0.0,damaging,TRPM2
RSF1 (51773)_damaging,0,0.01515997404205935,209.75,91.07277309931877,0.0,damaging,RSF1
CACNA1S (779)_damaging,0,0.012815088968298832,211.0,69.76388750635962,0.0,damaging,CACNA1S
SLITRK5 (26050)_damaging,0,0.01389093761537375,211.0,108.89444430272832,0.0,damaging,SLITRK5
C10orf71 (118461)_damaging,0,0.012060400540508533,212.0,72.38093671679029,0.0,damaging,C10orf71
TNNI3K (51086)_damaging,0,0.0126924222245656,212.0,,0.0,damaging,TNNI3K
ACACB (32)_damaging,0,0.013299553652874241,213.8,83.30186072351566,0.0,damaging,ACACB
FES (2242)_damaging,0,0.013881254587376959,214.4,68.12708712399203,0.0,damaging,FES
ARHGEF28 (64283)_damaging,0,0.013008181587050579,214.8,60.849815118864576,0.0,damaging,ARHGEF28
DIS3 (22894)_damaging,0,0.01274028007619242,215.6,57.46564190888326,0.0,damaging,DIS3
HDAC7 (51564)_damaging,0,0.0134295631660177,216.0,104.65180361560904,0.0,damaging,HDAC7
NFAT5 (10725)_damaging,0,0.01187746831511535,217.0,45.254833995939045,0.0,damaging,NFAT5
PPRC1 (23082)_damaging,0,0.014920136697935859,217.0,90.40741120063112,0.0,damaging,PPRC1
CEP350 (9857)_damaging,0,0.01372602358744614,218.4,72.07842950564337,0.0,damaging,CEP350
PTPRZ1 (5803)_damaging,0,0.012704770516233862,218.4,85.74555382059177,0.0,damaging,PTPRZ1
MYH7B (57644)_damaging,0,0.01231712445108318,218.6,88.75978819262696,0.0,damaging,MYH7B
MYH2 (4620)_damaging,0,0.01569822162355762,219.6,103.16152383519739,0.0,damaging,MYH2
CD93 (22918)_damaging,0,0.0130633121334122,219.66666666666666,69.40701213374145,0.0,damaging,CD93
SMAD4 (4089)_damaging,0,0.01346938578577946,219.8,81.56715025057575,0.0,damaging,SMAD4
CDH22 (64405)_damaging,0,0.0106942439325542,220.0,,0.0,damaging,CDH22
ABCA5 (23461)_damaging,0,0.0123293961511781,220.2,77.37376816466934,0.0,damaging,ABCA5
LEPR (3953)_damaging,0,0.01339186930253842,220.4,98.62707539007734,0.0,damaging,LEPR
GABBR1 (2550)_damaging,0,0.011811213134356601,220.66666666666666,63.846169292552965,0.0,damaging,GABBR1
MROH2B (133558)_damaging,0,0.013768583179838239,221.0,97.52179243635753,0.0,damaging,MROH2B
DIAPH2 (1730)_damaging,0,0.01220724833050864,221.2,95.1614417713393,0.0,damaging,DIAPH2
SLC4A3 (6508)_damaging,0,0.014867503089288681,221.2,104.7888352831541,0.0,damaging,SLC4A3
COL14A1 (7373)_damaging,0,0.014015877707355079,221.4,99.71609699541995,0.0,damaging,COL14A1
ABCA2 (20)_damaging,0,0.011450471847648533,221.66666666666666,96.71780256671123,0.0,damaging,ABCA2
HIPK3 (10114)_damaging,0,0.01253389669171005,222.5,99.7020561473032,0.0,damaging,HIPK3
HMCN1 (83872)_damaging,0,0.0123194144667837,222.8,92.02825653026358,0.0,damaging,HMCN1
SALL3 (27164)_damaging,0,0.013295506508363059,223.8,97.03968260459223,0.0,damaging,SALL3
TOPBP1 (11073)_damaging,0,0.013992913731876338,225.0,100.35188089916402,0.0,damaging,TOPBP1
ESRP1 (54845)_damaging,0,0.01321156805620296,225.2,96.30524388630144,0.0,damaging,ESRP1
CRLF1 (9244)_damaging,0,0.0092165182841914,226.0,,0.0,damaging,CRLF1
EXD3 (54932)_damaging,0,0.0139681908092466,226.0,115.18246394308467,0.0,damaging,EXD3
EPS8L3 (79574)_damaging,0,0.011782780530299524,226.25,77.98023253791096,0.0,damaging,EPS8L3
PPIG (9360)_damaging,0,0.01052631722275478,228.0,60.7988486733096,0.0,damaging,PPIG
SECISBP2 (79048)_damaging,0,0.0105208042120537,228.0,91.92388155425118,0.0,damaging,SECISBP2
FCGBP (8857)_damaging,0,0.01203882469880164,228.2,91.35753937141696,0.0,damaging,FCGBP
DDX3X (1654)_damaging,0,0.01067748269294594,228.6,56.62419977359504,0.0,damaging,DDX3X
DNAH11 (8701)_damaging,0,0.01170056667961724,228.6,84.69533635330814,0.0,damaging,DNAH11
ADAMTS3 (9508)_damaging,0,0.012001288785626675,228.75,78.83051439639348,0.0,damaging,ADAMTS3
MORC4 (79710)_damaging,0,0.0106291733378975,229.0,,0.0,damaging,MORC4
PIK3R1 (5295)_damaging,0,0.010406897364988621,229.0,59.30851540883484,0.0,damaging,PIK3R1
KIF27 (55582)_damaging,0,0.010344797744249179,230.0,67.76060802560733,0.0,damaging,KIF27
SIPA1L3 (23094)_damaging,0,0.011387065018338999,230.33333333333334,102.53942331285725,0.0,damaging,SIPA1L3
DNM2 (1785)_damaging,0,0.014385179276739525,230.5,119.68430696350018,0.0,damaging,DNM2
C2orf78 (388960)_damaging,0,0.0101355848743965,231.0,,0.0,damaging,C2orf78
PRX (57716)_damaging,0,0.01010716794996996,231.2,76.31972222171672,0.0,damaging,PRX
TAF1L (138474)_damaging,0,0.010448836651576233,231.33333333333334,64.25988899253821,0.0,damaging,TAF1L
ZFHX3 (463)_damaging,0,0.01102199589638366,231.6,86.42511209133605,0.0,damaging,ZFHX3
NUGGC (389643)_damaging,0,0.010038378867378886,232.0,82.27393268830657,0.0,damaging,NUGGC
TRIP10 (9322)_damaging,0,0.00948999707324275,232.0,79.19595949289332,0.0,damaging,TRIP10
MYO7A (4647)_damaging,0,0.01051486141747282,232.2,83.69408581255907,0.0,damaging,MYO7A
CACNA2D3 (55799)_damaging,0,0.0076232143464101,234.0,,0.0,damaging,CACNA2D3
DLC1 (10395)_damaging,0,0.009045276631149625,234.5,73.99774771347211,0.0,damaging,DLC1
