feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
KMT2C (58508)_damaging,0,0.00120818208122328,179.6,101.27092376393136,0.0,damaging,KMT2C
NLRP7 (199713)_damaging,0,0.0010294582526944667,182.66666666666666,22.1434715736565,0.0,damaging,NLRP7
NOLC1 (9221)_damaging,0,0.0010768406147442,184.0,,0.0,damaging,NOLC1
OBSCN (84033)_damaging,0,0.00119644032062332,185.8,99.51482301647329,0.0,damaging,OBSCN
QKI (9444)_damaging,0,0.0015073833020757999,186.0,138.09598111458567,0.0,damaging,QKI
PTPRT (11122)_damaging,0,0.00132349926138666,186.2,121.15155797595011,0.0,damaging,PTPRT
ITPR2 (3709)_damaging,0,0.0013939420123372,189.0,139.3951218658673,0.0,damaging,ITPR2
CSMD1 (64478)_damaging,0,0.00117271675324698,189.6,99.82885354445376,0.0,damaging,CSMD1
LARP1 (23367)_damaging,0,0.00137609885079416,190.2,139.2684458159852,0.0,damaging,LARP1
MGA (23269)_damaging,0,0.00108708215573792,190.2,63.5192884091124,0.0,damaging,MGA
AP3D1 (8943)_damaging,0,0.001307057053923875,190.5,119.64809512343548,0.0,damaging,AP3D1
LAMA5 (3911)_damaging,0,0.00146633342470336,194.0,202.651178136225,0.0,damaging,LAMA5
PHF20L1 (51105)_damaging,0,0.0015229408969469802,195.8,128.3927568050472,0.0,damaging,PHF20L1
THBS2 (7058)_damaging,0,0.0009229580859081,196.0,,0.0,damaging,THBS2
PDE3A (5139)_damaging,0,0.0009207094177163,197.0,,0.0,damaging,PDE3A
PLEC (5339)_damaging,0,0.0011239855766324,197.2,97.64578843964547,0.0,damaging,PLEC
PLXNA4 (91584)_damaging,0,0.00117485559181336,198.2,100.5917491646308,0.0,damaging,PLXNA4
DGKZ (8525)_damaging,0,0.0010259078559761,199.0,,0.0,damaging,DGKZ
COL22A1 (169044)_damaging,0,0.00129623647586058,199.6,132.58695260092526,0.0,damaging,COL22A1
FIP1L1 (81608)_damaging,0,0.0009867271594555,203.0,,0.0,damaging,FIP1L1
