feature,mutated_and_positive,mutated_and_negative,unmutated_and_positive,unmutated_and_negative,test,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,fdr_q_value
MYH7B (57644)_damaging,10,9,806,806,Chi-square,1.1111111111111112,0.45704946372861044,2.6728105930451744,0.8195874713184615,0.8981979925461648
PTPRZ1 (5803)_damaging,10,9,806,806,Chi-square,1.1111111111111112,0.45704946372861044,2.6728105930451744,0.8195874713184615,0.8981979925461648
LAMB4 (22798)_damaging,10,9,806,806,Chi-square,1.1111111111111112,0.45704946372861044,2.6728105930451744,0.8195874713184615,0.8981979925461648
SCN11A (11280)_damaging,10,11,806,804,Chi-square,0.9068351003834875,0.39229248617986223,2.114541830706573,0.82395236921259,0.8983312259421611
PAPPA2 (60676)_damaging,10,11,806,804,Chi-square,0.9068351003834875,0.39229248617986223,2.114541830706573,0.82395236921259,0.8983312259421611
EP300 (2033)_damaging,43,41,773,774,Chi-square,1.0501372542832803,0.6781029367865122,1.624459556421093,0.8271998942907968,0.8983312259421611
ABCC9 (10060)_damaging,11,10,805,805,Chi-square,1.1,0.4717429293715469,2.5427969569333024,0.8283575536254911,0.8983312259421611
AKAP6 (9472)_damaging,11,10,805,805,Chi-square,1.1,0.4717429293715469,2.5427969569333024,0.8283575536254911,0.8983312259421611
RIMS2 (9699)_damaging,11,12,805,803,Chi-square,0.9143892339544514,0.40956066326614243,2.056354991778552,0.831356774737397,0.8983312259421611
SCN9A (6335)_damaging,11,12,805,803,Chi-square,0.9143892339544514,0.40956066326614243,2.056354991778552,0.831356774737397,0.8983312259421611
NCOR1 (9611)_damaging,11,12,805,803,Chi-square,0.9143892339544514,0.40956066326614243,2.056354991778552,0.831356774737397,0.8983312259421611
SPEG (10290)_damaging,12,11,804,804,Chi-square,1.0909090909090908,0.4850899203945138,2.4355782927634517,0.8359793843436953,0.8986050176656097
WWP1 (11059)_damaging,12,11,804,804,Chi-square,1.0909090909090908,0.4850899203945138,2.4355782927634517,0.8359793843436953,0.8986050176656097
LAMA1 (284217)_damaging,12,11,804,804,Chi-square,1.0909090909090908,0.4850899203945138,2.4355782927634517,0.8359793843436953,0.8986050176656097
