gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_ridge,gain_over_lineage,gain_over_self
SNRPB2 (6629),0.4870598316192627,True,-0.05249295364083938,0.2425070165735001,0.10433296379827407,0.477206870948195,0.23469985437469493,0.37287390714992097
UBE2H (7328),0.3260435461997986,True,-0.05781048976841877,0.32041376467501886,0.19237384102237298,0.47586130683742756,0.1554475421624087,0.2834874658150546
PMM2 (5373),0.38549286127090454,True,-0.04011444615935173,0.3810605541226496,-0.0994970109251836,0.4750339159426958,0.09397336182004618,0.5745309268678793
HSD17B10 (3028),0.38575279712677,True,-0.07088819331914696,0.24448045658761747,0.05008814321885476,0.4748672408840628,0.23038678429644532,0.42477909766520805
PCYT1A (5130),0.3417470157146454,True,-0.03974344194500836,0.2355085682258205,-0.02644647205700218,0.47482978043675417,0.23932121221093366,0.5012762524937564
MARK2 (2011),0.3179531693458557,True,-0.03607271984891571,0.34307591955043454,0.10008371098022009,0.4747919811539643,0.13171606160352978,0.3747082701737442
IGF1R (3480),0.2918684482574463,True,-0.06773635625740991,0.27468454785111257,0.23312737225478067,0.4735230942903335,0.19883854643922094,0.24039572203555284
FBXO11 (80204),0.314167857170105,True,-0.052747950996375685,0.33341382677020487,0.04118684452534078,0.47310706555080934,0.13969323878060447,0.43192022102546856
EMC2 (9694),0.2857804000377655,True,-0.0466279456348524,0.2533774804774848,0.09685764450750907,0.47128786488389446,0.21791038440640964,0.3744302203763854
ERBB2 (2064),0.34308362007141113,True,-0.03737575970915121,0.31377497322684894,0.46222922629561247,0.47107692001073354,0.1573019467838846,0.008847693715121063
ENO1 (2023),0.40937331318855286,True,-0.08258722556220711,0.23217725238399334,-0.05276315874981837,0.47087426125762527,0.23869700887363193,0.5236374200074436
LIAS (11019),0.33516043424606323,True,-0.05093573541116125,0.34906397638128905,0.039432323649050825,0.47047859424543675,0.1214146178641477,0.43104627059638595
FBXO42 (54455),0.3054772615432739,True,-0.06051895140736536,0.2014530455389248,0.047714616077883645,0.4704636163203115,0.2690105707813867,0.42274900024242784
