roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model
0.7826037863675712,0.7657245502899037,0.7024539877300613,0.754601226993865,0.6503067484662577,0.717201166180758,0.19823942019746857,326,0.5,0.477,3,all,cin,random_forest
0.7278407166246378,0.7050395395816239,0.6595092024539877,0.558282208588957,0.7607361963190185,0.621160409556314,0.2115100792765329,326,0.5,0.56,3,5,cin,random_forest
0.7511385449207724,0.7598277695883612,0.6932515337423313,0.6073619631901841,0.7791411042944786,0.6644295302013423,0.20483986726240272,326,0.5,0.561,3,10,cin,random_forest
0.7817757536979185,0.7810210636768,0.7055214723926381,0.7055214723926381,0.7055214723926381,0.7055214723926381,0.19487745572275458,326,0.5,0.502,3,20,cin,random_forest
0.7819827618653318,0.7814597263201243,0.7147239263803682,0.6503067484662577,0.7791411042944786,0.6950819672131148,0.19542451533742328,326,0.5,0.53,3,30,cin,random_forest
0.7580171635049684,0.756598039501356,0.6991493526046372,0.7378048780487805,0.6604938271604939,0.711764705882353,0.20396784507859142,326,0.5030674846625767,0.502,4,all,cin,random_forest
0.6688121047877146,0.6658176298328281,0.6173215898825655,0.49390243902439024,0.7407407407407407,0.5644599303135889,0.23229745380310368,326,0.5030674846625767,0.571,4,5,cin,random_forest
0.7195874736525142,0.7233582690458086,0.6689250225835592,0.6341463414634146,0.7037037037037037,0.6582278481012658,0.21337424860626084,326,0.5030674846625767,0.527,4,10,cin,random_forest
0.7341162300511894,0.7352794966517486,0.6747214694369166,0.6951219512195121,0.654320987654321,0.6826347305389222,0.20862519588233056,326,0.5030674846625767,0.494,4,20,cin,random_forest
0.7391975308641976,0.739140319899676,0.6840183679614573,0.6890243902439024,0.6790123456790124,0.6869300911854104,0.20732663081914507,326,0.5030674846625767,0.511,4,30,cin,random_forest
0.7588657788418375,0.7702021115617763,0.6820290288792459,0.7055214723926381,0.6585365853658537,0.688622754491018,0.20386424907656908,327,0.4984709480122324,0.471,0,all,loh,random_forest
0.6786435732455484,0.6858312137825409,0.6089892263953314,0.7484662576687117,0.4695121951219512,0.6559139784946236,0.22864632804431229,327,0.4984709480122324,0.433,0,5,loh,random_forest
