gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_enet,gain_over_lineage
DEXI (28955),0.26672038435935974,True,-0.1828645878733512,0.053432163268922445,-0.2890800212242765,0.08181826732350649,0.02838610405458404
DHODH (1723),0.3498402535915375,True,-0.04252994831227661,0.47037794877853073,0.16012536289090004,0.5419689387944768,0.0715909900159461
DHRSX (207063),0.3086394965648651,True,-0.1920155731864746,0.08231345803922183,-0.2828323451850109,0.09177085913161562,0.009457401092393791
DHX29 (54505),0.35594138503074646,True,-0.05182176323958328,0.353680776398618,0.11161828791860384,0.40778429461874294,0.054103518220124935
DHX35 (60625),0.2504779100418091,True,-0.055159298056906156,0.19121042488746476,0.03468625366100827,0.26765377147894964,0.07644334659148488
DIDO1 (11083),0.25021591782569885,True,-0.030564044826140387,0.14616494003662273,0.17737280537155992,0.2639261333270621,0.11776119329043938
DLD (1738),0.3212568163871765,True,-0.08619776803964084,0.39813283021689033,-0.09117367669368404,0.4557927170375885,0.05765988682069817
DLST (1743),0.27865421772003174,True,-0.04112921754399531,0.49265254912825956,-0.049671128988390004,0.5702682957271812,0.07761574659892162
DNAAF5 (54919),0.2542380690574646,True,-0.0637032862005918,0.07966732961514987,-0.08158273676307755,0.27775250311814087,0.19808517350299099
DNAJA1 (3301),0.26732438802719116,True,-0.04622516764409298,0.09622291339357565,-0.032168923227325515,0.09799335236668152,0.0017704389731058728
DNAJC11 (55735),0.4148643910884857,True,-0.04385791039624154,0.12766555750856945,0.1095705636409951,0.4312047176725413,0.30353916016397187
DNAJC13 (23317),0.2874290645122528,True,-0.048232727725373764,0.2546972565251833,0.01044436178957539,0.32220622052202874,0.06750896399684542
DNAJC19 (131118),0.2916104793548584,True,-0.07633231813139141,0.14280766987895463,-0.02777142186795208,0.6596342299702929,0.5168265600913382
DNLZ (728489),0.3241505026817322,True,-0.05177404384091384,0.25255125976301923,0.037948491275369374,0.37145000369398484,0.11889874393096561
DOLK (22845),0.2791139483451843,True,-0.026402610853091205,0.1690456648953951,0.012634293386549904,0.3104241468247541,0.141378481929359
DOLPP1 (57171),0.27700889110565186,True,-0.04214158040884209,0.2564396305745396,0.062336698465450015,0.3534580585719762,0.0970184279974366
DOT1L (84444),0.30096256732940674,True,-0.026252861433146573,0.2933968516740759,0.12358029903233418,0.36216792927659003,0.06877107760251411
DPF2 (5977),0.292967826128006,True,-0.049519913165562875,0.26488863813271213,-0.047809277931913724,0.2582371732605813,-0.006651464872130808
DPH6 (89978),0.27231165766716003,True,-0.03815748890504694,0.25144056518966573,-0.019405376540050354,0.29901490222090366,0.04757433703123792
DPM1 (8813),0.251699298620224,True,-0.01571139925454796,0.18616483740301618,-0.05730253588688299,0.3856908681475012,0.19952603074448502
DRAP1 (10589),0.2739414572715759,True,-0.019718124087540322,0.1673120201703392,0.08553108254530961,0.21578647630164483,0.04847445613130563
DSCC1 (79075),0.34708547592163086,True,-0.06754079048740329,0.23797598947621426,-0.05768539142085979,0.27156365826778356,0.0335876687915693
DUSP4 (1846),0.3164140582084656,True,-0.05119790254640333,0.5217820316765007,0.4096302311488129,0.5753484499063052,0.05356641822980446
DYRK1A (1859),0.34123697876930237,True,-0.06995850565038988,0.24331640633776938,0.23517712865959867,0.3523012649201985,0.1089848585824291
E2F1 (1869),0.25741341710090637,True,-0.05869436755460762,0.21949939069716826,0.038630137923158815,0.26042058543005586,0.040921194732887606
E2F3 (1871),0.33529967069625854,True,-0.07710913244451786,0.2883406422603047,0.3367001224013385,0.5071889568044254,0.21884831454412074
EAF1 (85403),0.34861865639686584,True,-0.029256689503932676,0.27790601627115114,0.07580837314660133,0.5273560549861549,0.24945003871500376
EARS2 (124454),0.40878331661224365,True,-0.042613266189402886,0.2112792697825795,-0.07452807218341963,0.3502010871498971,0.13892181736731762
EBF1 (1879),0.30038800835609436,True,-0.03301877779017569,0.5917054640898795,0.5175758185855068,0.7738093132800298,0.18210384919015032
EED (8726),0.3335884213447571,True,-0.055973965582865326,0.2599843463686911,0.033871412518696055,0.3772651377098873,0.11728079134119618
EEFSEC (60678),0.3645620346069336,True,-0.045139366323634814,0.4107703431756911,-0.028530763875238424,0.471970179136337,0.061199835960645876
EFR3A (23167),0.44043904542922974,True,-0.044451952715522804,0.3964418370070591,-0.04166800976947307,0.6550417315427013,0.2585998945356422
EGFR (1956),0.3595558702945709,True,-0.05893876404631673,0.43722585934201885,0.3355162208377438,0.5612281210742316,0.12400226173221274
EGLN1 (54583),0.3613717555999756,True,-0.052094911042052626,0.27081992223355694,0.12439274429502925,0.45390502131325894,0.183085099079702
EIF2AK4 (440275),0.3192613124847412,True,-0.03449658016423922,0.13733251122630263,-0.01727308817945544,0.14630855409409704,0.00897604286779441
ELMO2 (63916),0.3603314161300659,True,-0.0376108997794558,0.33989827744839457,0.20629912983595744,0.6137207288185483,0.27382245137015376
ELOA (6924),0.2640676200389862,True,-0.037534581377699355,0.34015374087137523,0.025586573024492857,0.4242742464949419,0.08412050562356665
ELOF1 (84337),0.2769570052623749,True,-0.05017240768184157,0.3439123402422621,-0.0727294979253258,0.38180011079092724,0.037887770548665156
EMC1 (23065),0.328580766916275,True,-0.05297680433264292,0.1530483622993485,-0.052088087454170234,0.33398594878377136,0.18093758648442285
EMC2 (9694),0.2857804000377655,True,-0.04662794563458413,0.25337753757912423,0.09685308343371801,0.406097106578585,0.15271956899946076
